SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005005,购建固定资产,263769.36
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005006,处置无形资产及其他资产,408889936.56
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005007,购建无形资产及其他资产,2908951.68
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005010,收回投资所得现金,1510610453.04
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005011,投资支付现金,1118765675.28
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005999,投资业务现金净额,838319767.92
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,007001,新增借款,-35405004.0
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,007002,偿还借款,342033140.64
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,007003,已付利息(融资),5837041.2
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,007004,已付股息(融资),14645440.08
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,007011,偿还融资租赁,2255768.88
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,007999,融资业务现金净额,-400176394.8
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,010999,现金净额,613464293.28
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,011001,期初现金,1025877256.56
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,011997,期间变动其他项目,13697700.96
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,011999,期末现金,1653039250.8
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,013999,非运算项目,1653039250.8
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001001,除税前溢利(业务利润),253419312.96
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001002,减:利息收入,34588319.04
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001003,加:利息支出,33232774.08
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001004,减:投资收益,577294.08
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001007,减:重估盈余,-4294081.44
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001008,减:出售资产之溢利,14811429.6
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001009,加:折旧及摊销,3711306.72
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001010,减:汇兑收益,-45275567.04
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,001999,营运资金变动前经营溢利,289955999.52
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,002002,应收帐款减少,20811816.96
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,002006,营运资本变动其他项目,135419306.88
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),-35124508.32
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,002999,经营产生现金,411062615.04
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,003002,已付利息(经营),33263831.04
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,003003,已付税项,130561632.96
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,003999,经营业务现金净额,247237151.04
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005001,已收利息(投资),34147127.52
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005002,已收股息(投资),577294.08
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005003,存款减少(增加),176655642.24
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005004,处置固定资产,6394.08
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005005,购建固定资产,397346.4
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005006,处置无形资产及其他资产,470130212.64
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005007,购建无形资产及其他资产,40021460.16
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005010,收回投资所得现金,957455933.28
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005011,投资支付现金,1119381442.08
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,005999,投资业务现金净额,479172355.2
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,007001,新增借款,556094964.48
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,007002,偿还借款,456165541.92
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,007004,已付股息(融资),19040656.8
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,007997,融资业务其他项目,-2594169.6
00131.HK,00131,卓能(集团),10007411,2020-06-30 00:00:00,001,6-30,2019-07-01 00:00:00,007999,融资业务现金净额,78294596.16
